no_cidade,nome_da_cidade,gid,valor,taxa
"Alta Floresta D'Oeste","<i>Alta Floresta D'Oeste</i>","6818","<b>110</b>","110"
"Ariquemes","<i>Ariquemes</i>","6819","<b>62</b>","62"
"Cabixi","<i>Cabixi</i>","6820","<b>115</b>","115"
"Cacoal","<i>Cacoal</i>","6821","<b>66</b>","66"
"Cerejeiras","<i>Cerejeiras</i>","6822","<b>109</b>","109"
"Colorado do Oeste","<i>Colorado do Oeste</i>","6823","<b>114</b>","114"
"Corumbiara","<i>Corumbiara</i>","6824","<b>113</b>","113"
"Costa Marques","<i>Costa Marques</i>","6825","<b>90</b>","90"
"Espigão D'Oeste","<i>Espigão D'Oeste</i>","6826","<b>91</b>","91"
"Guajará-Mirim","<i>Guajará-Mirim</i>","6827","<b>102</b>","102"
"Jaru","<i>Jaru</i>","6828","<b>99</b>","99"
"Ji-Paraná","<i>Ji-Paraná</i>","6829","<b>74</b>","74"
"Machadinho D'Oeste","<i>Machadinho D'Oeste</i>","6830","<b>96</b>","96"
"Nova Brasilândia D'Oeste","<i>Nova Brasilândia D'Oeste</i>","6831","<b>105</b>","105"
"Ouro Preto do Oeste","<i>Ouro Preto do Oeste</i>","6832","<b>109</b>","109"
"Pimenta Bueno","<i>Pimenta Bueno</i>","6833","<b>103</b>","103"
"Porto Velho","<i>Porto Velho</i>","6834","<b>45</b>","45"
"Presidente Médici","<i>Presidente Médici</i>","6835","<b>115</b>","115"
"Rio Crespo","<i>Rio Crespo</i>","6836","<b>101</b>","101"
"Rolim de Moura","<i>Rolim de Moura</i>","6837","<b>103</b>","103"
"Santa Luzia D'Oeste","<i>Santa Luzia D'Oeste</i>","6838","<b>123</b>","123"
"Vilhena","<i>Vilhena</i>","6839","<b>85</b>","85"
"São Miguel do Guaporé","<i>São Miguel do Guaporé</i>","6840","<b>65</b>","65"
"Nova Mamoré","<i>Nova Mamoré</i>","6841","<b>59</b>","59"
"Alvorada D'Oeste","<i>Alvorada D'Oeste</i>","6842","<b>114</b>","114"
"Alto Alegre dos Parecis","<i>Alto Alegre dos Parecis</i>","6843","<b>105</b>","105"
"Alto Paraíso","<i>Alto Paraíso</i>","6844","<b>97</b>","97"
"Buritis","<i>Buritis</i>","6845","<b>75</b>","75"
"Novo Horizonte do Oeste","<i>Novo Horizonte do Oeste</i>","6846","<b>116</b>","116"
"Cacaulândia","<i>Cacaulândia</i>","6847","<b>103</b>","103"
"Campo Novo de Rondônia","<i>Campo Novo de Rondônia</i>","6848","<b>102</b>","102"
"Candeias do Jamari","<i>Candeias do Jamari</i>","6849","<b>95</b>","95"
"Castanheiras","<i>Castanheiras</i>","6850","<b>114</b>","114"
"Chupinguaia","<i>Chupinguaia</i>","6851","<b>95</b>","95"
"Cujubim","<i>Cujubim</i>","6852","<b>37</b>","37"
"Governador Jorge Teixeira","<i>Governador Jorge Teixeira</i>","6853","<b>122</b>","122"
"Itapuã do Oeste","<i>Itapuã do Oeste</i>","6854","<b>98</b>","98"
"Ministro Andreazza","<i>Ministro Andreazza</i>","6855","<b>64</b>","64"
"Mirante da Serra","<i>Mirante da Serra</i>","6856","<b>111</b>","111"
"Monte Negro","<i>Monte Negro</i>","6857","<b>102</b>","102"
"Nova União","<i>Nova União</i>","6858","<b>110</b>","110"
"Parecis","<i>Parecis</i>","6859","<b>97</b>","97"
"Pimenteiras do Oeste","<i>Pimenteiras do Oeste</i>","6860","<b>110</b>","110"
"Primavera de Rondônia","<i>Primavera de Rondônia</i>","6861","<b>117</b>","117"
"São Felipe D'Oeste","<i>São Felipe D'Oeste</i>","6862","<b>114</b>","114"
"São Francisco do Guaporé","<i>São Francisco do Guaporé</i>","6863","<b>97</b>","97"
"Seringueiras","<i>Seringueiras</i>","6864","<b>106</b>","106"
"Teixeirópolis","<i>Teixeirópolis</i>","6865","<b>113</b>","113"
"Theobroma","<i>Theobroma</i>","6866","<b>108</b>","108"
"Urupá","<i>Urupá</i>","6867","<b>113</b>","113"
"Vale do Anari","<i>Vale do Anari</i>","6868","<b>99</b>","99"
"Vale do Paraíso","<i>Vale do Paraíso</i>","6869","<b>116</b>","116"
"Acrelândia","<i>Acrelândia</i>","6870","<b>94</b>","94"
"Assis Brasil","<i>Assis Brasil</i>","6871","<b>94</b>","94"
"Brasiléia","<i>Brasiléia</i>","6872","<b>94</b>","94"
"Bujari","<i>Bujari</i>","6873","<b>93</b>","93"
"Capixaba","<i>Capixaba</i>","6874","<b>94</b>","94"
"Cruzeiro do Sul","<i>Cruzeiro do Sul</i>","6875","<b>93</b>","93"
"Epitaciolândia","<i>Epitaciolândia</i>","6876","<b>94</b>","94"
"Feijó","<i>Feijó</i>","6877","<b>81</b>","81"
"Jordão","<i>Jordão</i>","6878","<b>94</b>","94"
"Mâncio Lima","<i>Mâncio Lima</i>","6879","<b>94</b>","94"
"Manoel Urbano","<i>Manoel Urbano</i>","6880","<b>93</b>","93"
"Marechal Thaumaturgo","<i>Marechal Thaumaturgo</i>","6881","<b>94</b>","94"
"Plácido de Castro","<i>Plácido de Castro</i>","6882","<b>93</b>","93"
"Porto Walter","<i>Porto Walter</i>","6883","<b>94</b>","94"
"Rio Branco","<i>Rio Branco</i>","6884","<b>75</b>","75"
"Rodrigues Alves","<i>Rodrigues Alves</i>","6885","<b>94</b>","94"
"Santa Rosa do Purus","<i>Santa Rosa do Purus</i>","6886","<b>94</b>","94"
"Senador Guiomard","<i>Senador Guiomard</i>","6887","<b>93</b>","93"
"Sena Madureira","<i>Sena Madureira</i>","6888","<b>93</b>","93"
"Tarauacá","<i>Tarauacá</i>","6889","<b>93</b>","93"
"Xapuri","<i>Xapuri</i>","6890","<b>93</b>","93"
"Porto Acre","<i>Porto Acre</i>","6891","<b>94</b>","94"
"Alvarães","<i>Alvarães</i>","10135","<b>99</b>","99"
"Amaturá","<i>Amaturá</i>","10136","<b>97</b>","97"
"Anamã","<i>Anamã</i>","10137","<b>95</b>","95"
"Anori","<i>Anori</i>","10138","<b>96</b>","96"
"Apuí","<i>Apuí</i>","10139","<b>97</b>","97"
"Atalaia do Norte","<i>Atalaia do Norte</i>","10140","<b>95</b>","95"
"Autazes","<i>Autazes</i>","10141","<b>97</b>","97"
"Barcelos","<i>Barcelos</i>","10142","<b>100</b>","100"
"Barreirinha","<i>Barreirinha</i>","10143","<b>98</b>","98"
"Benjamin Constant","<i>Benjamin Constant</i>","10144","<b>96</b>","96"
"Beruri","<i>Beruri</i>","10145","<b>96</b>","96"
"Boa Vista do Ramos","<i>Boa Vista do Ramos</i>","10146","<b>96</b>","96"
"Boca do Acre","<i>Boca do Acre</i>","10147","<b>99</b>","99"
"Borba","<i>Borba</i>","10148","<b>98</b>","98"
"Caapiranga","<i>Caapiranga</i>","10149","<b>98</b>","98"
"Canutama","<i>Canutama</i>","10150","<b>99</b>","99"
"Carauari","<i>Carauari</i>","10151","<b>100</b>","100"
"Careiro","<i>Careiro</i>","10152","<b>98</b>","98"
"Careiro da Várzea","<i>Careiro da Várzea</i>","10153","<b>96</b>","96"
"Coari","<i>Coari</i>","10154","<b>99</b>","99"
"Codajás","<i>Codajás</i>","10155","<b>97</b>","97"
"Eirunepé","<i>Eirunepé</i>","10156","<b>98</b>","98"
"Envira","<i>Envira</i>","10157","<b>97</b>","97"
"Fonte Boa","<i>Fonte Boa</i>","10158","<b>110</b>","110"
"Guajará","<i>Guajará</i>","10159","<b>97</b>","97"
"Humaitá","<i>Humaitá</i>","10160","<b>96</b>","96"
"Ipixuna","<i>Ipixuna</i>","10161","<b>95</b>","95"
"Iranduba","<i>Iranduba</i>","10162","<b>98</b>","98"
"Itacoatiara","<i>Itacoatiara</i>","10163","<b>98</b>","98"
"Itamarati","<i>Itamarati</i>","10164","<b>103</b>","103"
"Itapiranga","<i>Itapiranga</i>","10165","<b>99</b>","99"
"Japurá","<i>Japurá</i>","10166","<b>142</b>","142"
"Juruá","<i>Juruá</i>","10167","<b>94</b>","94"
"Jutaí","<i>Jutaí</i>","10168","<b>109</b>","109"
"Lábrea","<i>Lábrea</i>","10169","<b>97</b>","97"
"Manacapuru","<i>Manacapuru</i>","10170","<b>99</b>","99"
"Manaquiri","<i>Manaquiri</i>","10171","<b>94</b>","94"
"Manaus","<i>Manaus</i>","10172","<b>28</b>","28"
"Manicoré","<i>Manicoré</i>","10173","<b>98</b>","98"
"Maraã","<i>Maraã</i>","10174","<b>101</b>","101"
"Maués","<i>Maués</i>","10175","<b>97</b>","97"
"Nhamundá","<i>Nhamundá</i>","10176","<b>98</b>","98"
"Nova Olinda do Norte","<i>Nova Olinda do Norte</i>","10177","<b>97</b>","97"
"Novo Airão","<i>Novo Airão</i>","10178","<b>95</b>","95"
"Novo Aripuanã","<i>Novo Aripuanã</i>","10179","<b>97</b>","97"
"Parintins","<i>Parintins</i>","10180","<b>99</b>","99"
"Pauini","<i>Pauini</i>","10181","<b>100</b>","100"
"Presidente Figueiredo","<i>Presidente Figueiredo</i>","10182","<b>95</b>","95"
"Rio Preto da Eva","<i>Rio Preto da Eva</i>","10183","<b>96</b>","96"
"Santa Isabel do Rio Negro","<i>Santa Isabel do Rio Negro</i>","10184","<b>94</b>","94"
"Santo Antônio do Içá","<i>Santo Antônio do Içá</i>","10185","<b>106</b>","106"
"São Gabriel da Cachoeira","<i>São Gabriel da Cachoeira</i>","10186","<b>68</b>","68"
"São Paulo de Olivença","<i>São Paulo de Olivença</i>","10187","<b>96</b>","96"
"São Sebastião do Uatumã","<i>São Sebastião do Uatumã</i>","10188","<b>95</b>","95"
"Silves","<i>Silves</i>","10189","<b>100</b>","100"
